"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"980",16.83333333,19.41666667,26.82916667,23.63478261,28.34583333,18.09583333,15.27916667,25.47083333,22.81666667,32.6125,38.10416667,43.3125,43.15833333,16.75833333,17.75,18.2,12.2125,19.375,13.87083333,47.25416667,54.79166667,45.45416667,42.2625,44.2375,47.8375,15.80416667,22.47083333,17.92083333,30.69166667,30.85416667,18.42916667,25.20416667,21.58333333,14.26086957,33.7125,16.55416667,13.38636364,51.21666667
"981",21.19166667,26.89583333,28.5375,27.32083333,22.74166667,28.60416667,25.26666667,18.80416667,21.8125,26.93333333,36.62083333,34.925,60.8,20.24583333,18.2952381,19.4875,11.64166667,21.96666667,18.44166667,35.24166667,38.0875,37.60833333,39.7375,43.4875,41.36666667,20.93333333,22.9125,31.12916667,31.37083333,42.87916667,23.09090909,30.6,24.25416667,17.79166667,35.3625,22.7625,17.74583333,40.15416667
"982",25.89583333,25.40833333,27.125,26.22916667,24.06666667,32.025,27.52916667,17.40454545,22.3,15.07916667,72.80869565,55.77083333,63.14166667,16.80416667,16.30833333,16.52916667,12.01666667,19.22083333,20.7,26.54583333,25.275,22.92916667,35.225,25.435,24.28333333,17.19583333,19.99583333,27.9625,31.52083333,31.89583333,25.31666667,31.525,20.04583333,10.3875,19.22083333,21.70416667,18.6375,27.65416667
"983",27.22916667,23.99166667,23.50833333,26.35833333,25.05416667,18.9375,18.67916667,14.49166667,21.9875,19.025,46.23333333,41.62083333,42.84583333,15.17083333,15.375,15.47083333,11.19166667,18.55833333,24.17916667,15.4375,15.47083333,13.85,21.375,18.49166667,14.475,19.25416667,20.325,21.25217391,25.8,26.60416667,22.15833333,14.2625,17.24583333,9.7625,15.65833333,19.22083333,13.34583333,17.175
"984",28.8625,32.20833333,18.86666667,24.27916667,26.27083333,12.27916667,13.52083333,34.275,16.29583333,14.29166667,27.38333333,19.69583333,24.30833333,13.5875,16.10833333,14.40833333,11.52083333,21.15416667,20.79166667,12.26666667,12.3,10.0625,17.12083333,13.39583333,12.2625,25.725,24.36666667,18.975,20.64583333,30.875,19.845,17.93333333,20.45416667,12.6375,34.45,22.04583333,16.39583333,13.0625
"985",21.94583333,18.52916667,19.43333333,22.675,25.425,10.87083333,13.67083333,17.83333333,17.99166667,10.77083333,15.91666667,14.72083333,21.9125,10.01666667,13.44583333,10.86666667,11.175,17.12083333,17.16666667,8.85,8.575,7.941666667,15.84166667,11.5875,8.5375,23.5375,23.91666667,14.07727273,17.32083333,21.87619048,17.45416667,8.5125,21.12083333,5.283333333,32.95,17.93043478,20.75,9.1125
"986",9.983333333,12.48333333,12.34583333,21.87083333,20.59166667,9.870833333,12.03043478,11.1875,11.30833333,10.04583333,15.52173913,18.3625,25.10416667,9.845833333,13.39583333,9.725,8.379166667,10.67916667,4.708695652,9.5375,8.425,11.5875,13.0125,13.65833333,9.270833333,19.00833333,20.01666667,12.86666667,13.46666667,12.825,8.770833333,6.491666667,10.9826087,9.829166667,24.95416667,15.35833333,8.616666667,9.495833333
"987",10.1,13.825,10.7625,11.27083333,15.95833333,11.42916667,15.45833333,12.39166667,11.94583333,17.07083333,24.35416667,20.89583333,21.03333333,13.72916667,15.675,12.85416667,7.495833333,12.87916667,8.704545455,10.32916667,10.80833333,9.5875,16.30833333,14.32083333,11.34583333,16.45416667,16.2625,14.89583333,14.48333333,15.22916667,9.145833333,8.2,11.9125,4.731818182,25.475,18.975,6.883333333,11.19583333
"988",12.8,19.6125,13.12083333,18.45416667,10.22916667,18.77083333,13.02083333,12.20416667,11.20833333,9.384210526,27.01304348,20.575,19.80416667,15.44583333,18.35416667,15.52083333,9.795833333,14.425,9.765217391,12.66666667,12.64166667,10.40833333,19.05416667,15.925,15.07916667,14.2875,12.92083333,12.81363636,13.04166667,17.575,12.42083333,10.75833333,13.99583333,7.258333333,38.62916667,17.97916667,10.12083333,13.65416667
"989",14.87083333,18.71666667,20.29583333,20.725,12.76666667,11.29583333,11.1875,8.0875,17.84583333,9.791666667,38.66666667,27.36666667,24.40416667,14.75416667,18.00833333,15.3,11.19583333,11.775,10.2375,8.966666667,9.445833333,8.075,13.9125,10.83333333,8.925,19.625,15.09166667,14.12272727,13.32608696,33.425,12.84583333,8.229166667,9.429166667,3.2,30.575,15.95833333,9.729166667,9.966666667
"990",18.52916667,49.45416667,43.30416667,68.57083333,36.425,11.05416667,12.43333333,30.09583333,35.65416667,13.95,21.30416667,19.3,23.52083333,35.89583333,42.68333333,40.93333333,31.20416667,51.4375,18.1125,11.91666667,11.82916667,10.26666667,14.84210526,11.86666667,10.5375,30.15,27.0125,13.34583333,26.55833333,33.13333333,21.66666667,13.98333333,15.50416667,12.03913043,98.32916667,21,31.84583333,12.57083333
